"year","first_release","published"
1997-01-01,2,2
1998-01-01,12,14
1999-01-01,57,71
2000-01-01,41,112
2001-01-01,65,177
2002-01-01,66,243
2003-01-01,102,345
2004-01-01,144,489
2005-01-01,209,698
2006-01-01,286,984
2007-01-01,333,1317
2008-01-01,382,1699
2009-01-01,526,2225
2010-01-01,583,2808
2011-01-01,774,3582
2012-01-01,1214,4796
2013-01-01,1113,5909
2014-01-01,1375,7284
2015-01-01,1659,8943
2016-01-01,2143,11086
2017-01-01,2385,13471
2018-01-01,2082,15553
2019-01-01,2167,17720
2020-01-01,2398,20118
2021-01-01,2382,22500
2022-01-01,243,22743
